source,target,amount,timestamp,hour_of_day,day_of_week,sender_timezone,local_hour
0xdc9741aa2b64f230a1fc0f576006c35b49055d29,0xe4fd64c52452aa7933a26c63198b13ee6b87a3af,0.0001,1521812321.0,15,4,-3,12
0xdc9741aa2b64f230a1fc0f576006c35b49055d29,0xe4fd64c52452aa7933a26c63198b13ee6b87a3af,0.02,1528027945.0,15,6,-3,12
0xdc9741aa2b64f230a1fc0f576006c35b49055d29,0xe4fd64c52452aa7933a26c63198b13ee6b87a3af,0.01,1528567653.0,21,5,-3,18
0xd5320a59af813bb7266850ace144e814713a84d4,0xbfa82fbe0e66d8e2b7dcc16328db9ecd70533d13,0.0005,1534539742.0,0,5,6,6
0xd5320a59af813bb7266850ace144e814713a84d4,0xbfa82fbe0e66d8e2b7dcc16328db9ecd70533d13,0.0005,1534541110.0,0,5,6,6
0xd5320a59af813bb7266850ace144e814713a84d4,0xbfa82fbe0e66d8e2b7dcc16328db9ecd70533d13,0.001,1534702241.0,21,6,6,3
0xd5320a59af813bb7266850ace144e814713a84d4,0xbfa82fbe0e66d8e2b7dcc16328db9ecd70533d13,0.001,1535023840.0,14,3,6,20
0xd5320a59af813bb7266850ace144e814713a84d4,0xe8868e87aaa4a0d0751691f9f33b0e5da7127039,0.0,1540394737.0,18,2,6,0
0xab1ab409cd23880c4999fa5f4f24925540a58926,0xe8868e87aaa4a0d0751691f9f33b0e5da7127039,0.0,1522539471.0,2,6,-6,20
0xfe2401eb7e5641c18dadf10670caf26d302d9dc5,0x0f89b38968065a571eeaf34dd6bf2093fb55c20f,0.5,1529543330.0,4,3,6,10
0x90d71641f084c0f6d80029ec648d3703b98f9e61,0xea3a8bd1a99e16160832d6b473ce06c1058dff7e,0.03789833000001,1534594842.0,15,5,5,20
0x54d32fd31e26c838ea797be9f274a79f6c372267,0x41466413f0c7f11c5b1af39cc1344af9d21a6d57,1.0,1524351970.0,2,6,-8,18
0x6d7d4e6c3bf8cef6f666ebd670ea08190a2e0c87,0x50228d83eeb60f31f6e58a0bd608228e9a17fe03,0.0,1520279030.0,21,0,1,22
0x33c4510635e5b8bc0af1bdb9446a6e5955b2aa68,0xea3a8bd1a99e16160832d6b473ce06c1058dff7e,0.025130885999999998,1534598986.0,16,5,6,22
0x86e6df2933f88a00caa11ad19413123c3abef3de,0xbbfaf27674c2eb5d13edc58a40081248d13dcfeb,5.7901,1530176198.0,11,3,-4,7
0x9f8953ab6cf565d9fb3af7ef4bf569160996d270,0x21f74c6bbc1e3ab9f0205e12de3a9daa14351aed,0.11,1515418663.0,15,0,-3,12
0xd7a4fc2eda6a6db74cdca7278329986de8bae727,0x4bf722014e54aeab05fcf1519e6e4c0c3f742e43,0.09820308897865909,1510347371.0,22,4,-1,21
0xce735a5c6feb88dd7d13b5faa7c27894eb4e5ae0,0xc169a0e826f22fc7d37a48aaa346ffb4521c35cd,20.0,1516203807.0,17,2,2,19
0x3aca96bf589e9a38417c176567ff488393ac9d11,0xea05f37657aed5d6066c42c1458cdd1aaf48b80a,0.5,1524905401.0,11,5,2,13
0x294020ef5b562c97fb1da2be3e0c10bdb29ad79d,0x4121cc82607ebab3f334e067f37fe2709c403bf6,0.002371729437589489,1517592200.0,19,4,3,22
0x294020ef5b562c97fb1da2be3e0c10bdb29ad79d,0x4121cc82607ebab3f334e067f37fe2709c403bf6,0.0446205,1523572513.0,1,4,3,4
0x4b01629a1baf82d8ab62726776b1332539e51cec,0xd3d7c71e4c5b1ff2f42fbb9b4a21f3373aa8b3b0,0.5,1508336616.0,17,2,8,1
0x77483497fe1972cb07792ade636984a81826efd8,0x501577cd4865d7d50664a1519a79f1c0e7069154,10.0,1508851073.0,16,1,7,23
0x8ba87b4c5ff3f2d625711993981edc167351504c,0x41adf29532a797e6421da918003e80ec70535dda,0.1,1528837643.0,0,2,3,3
0xdafc2a2d4e070f863cfcb5887bc2516e05e18877,0xd31b1bee0c9f42cb47406d52a796d8a26c5cf802,2.0,1517242409.0,18,0,5,23
0xdafc2a2d4e070f863cfcb5887bc2516e05e18877,0xd31b1bee0c9f42cb47406d52a796d8a26c5cf802,40.0,1517242459.0,18,0,5,23
0xdafc2a2d4e070f863cfcb5887bc2516e05e18877,0xd31b1bee0c9f42cb47406d52a796d8a26c5cf802,13.0,1517264984.0,0,1,5,5
0xdafc2a2d4e070f863cfcb5887bc2516e05e18877,0xd31b1bee0c9f42cb47406d52a796d8a26c5cf802,2.0228852998298006,1517271683.0,2,1,5,7
0xdafc2a2d4e070f863cfcb5887bc2516e05e18877,0xd31b1bee0c9f42cb47406d52a796d8a26c5cf802,14.0,1518539025.0,18,1,5,23
0xdafc2a2d4e070f863cfcb5887bc2516e05e18877,0xd31b1bee0c9f42cb47406d52a796d8a26c5cf802,0.8208175769570453,1518539984.0,18,1,5,23
0x7c1ac7ea4f37e31019abf7aa8783af9ed20978c9,0x40949225c4a1745a9946f6aaf763241c082cb9ac,0.5,1525388781.0,2,4,2,4
0x608fe1f2f0500616fdf1eab33f4a8ebdc24df54e,0x51d3ce5237b0aacb14ea4ddd1093b10afc69d40a,0.1,1506192397.0,21,5,5,2
0x87ff6cb9953a59ec380ddf5b1ea77d93e1ba35c9,0xd0d68941509f4231c88e4c204df6bdca05cc6506,0.04832,1513569474.0,5,0,-10,19
0xb935bb258f97f79abf443bdb521d7ef891daf987,0xc2dc7b86a5cfbc89e20d5d03026e973958d8e3b3,10.0,1528861879.0,6,2,7,13
0xa3f0c67ba26882e712a063d6cdfa8bcb116ea8d2,0xe40620cd028b53244cdbabcb36dd1a347243872a,27.0,1506387236.0,3,1,5,8
0xa1092fb5e3acde7a217f96b90a2e7f15a6c71155,0x40949225c4a1745a9946f6aaf763241c082cb9ac,3.514,1523287514.0,18,0,4,22
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0x849143a3d086c1c3d06a2d9b6a7e70a7907608bb,0.5,1519937953.0,22,3,2,0
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0x785a751b2e36b2b0fdb80100b7ca14889a768a22,0.492799,1519560975.0,14,6,2,16
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0x785a751b2e36b2b0fdb80100b7ca14889a768a22,0.4,1519586654.0,21,6,2,23
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0x336a3f0c4d40b1e39cee72e2e59330daf484848c,0.29,1529857343.0,19,6,2,21
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0x3d7a0fae63809c4725b13bdddabbb718939ad10e,0.99,1524472629.0,11,0,2,13
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0xe977419ef28e71ed541ff6318cea9a6392709a48,0.29,1519222078.0,16,2,2,18
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0x14258a5ddcad7001e8ac89b539df7e0f08a34500,0.06,1521420747.0,2,0,2,4
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0xf7355cb5278fc4be2f53ce373f7cd9b543d042a1,0.51,1524516835.0,23,0,2,1
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0xf7355cb5278fc4be2f53ce373f7cd9b543d042a1,0.5,1526384362.0,14,1,2,16
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0x2223d0e991e67830f9184171e2f5a44c1f0dee09,0.59,1523662227.0,2,5,2,4
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0x216dc48f74bacc2a1ae7c064fd22cb542a70088e,1.99,1523064105.0,4,5,2,6
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0x831ee6baf32c7f558d90dd8f16a45e2928c23131,0.365,1522316958.0,12,3,2,14
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0x831ee6baf32c7f558d90dd8f16a45e2928c23131,0.97,1522317804.0,13,3,2,15
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0x9389d53d43c7c174503ed929e6e8bb4e7b351ccb,0.5,1529977870.0,4,1,2,6
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0x41adf29532a797e6421da918003e80ec70535dda,0.096,1519682539.0,0,1,2,2
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0x41adf29532a797e6421da918003e80ec70535dda,0.014,1529470496.0,7,2,2,9
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0xe56303d8ff8c25c240f41d90fcaae1469c5b5f77,0.51,1524065829.0,18,2,2,20
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0xfe68de56a07cd3af0ec40c22b0193115ecdd0501,0.5,1513940549.0,13,4,2,15
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0x69f8e87518129498da751f26ea2309db05e7270b,0.4965,1519217836.0,14,2,2,16
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0x69f8e87518129498da751f26ea2309db05e7270b,0.42,1519380972.0,12,4,2,14
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0x69f8e87518129498da751f26ea2309db05e7270b,0.399842,1519563198.0,14,6,2,16
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0x69f8e87518129498da751f26ea2309db05e7270b,0.89,1519644448.0,13,0,2,15
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0xce82f4195c47110978099f86d2b33a8135f71974,0.5,1526919041.0,19,0,2,21
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0x06091b32533835265bfa6ef8b32b04747ba77bb2,0.515779,1528360840.0,11,3,2,13
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0x8a04b6a0223af79e4acc0a55c7b166fe0794269a,0.283,1520929903.0,10,1,2,12
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0x7942ec88b93ac9227957a118d8d09aa736c886a1,0.090714,1517366658.0,4,2,2,6
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0x52beed3924b0824411d03ea2fe51e429717dcf10,0.49,1526189221.0,8,6,2,10
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0x52beed3924b0824411d03ea2fe51e429717dcf10,0.49,1526189570.0,8,6,2,10
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0x67dfa651e7aba5ef524920d2d69302ca204be633,0.508497,1527805675.0,1,4,2,3
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0x84106febe96b45d1a6cf1dceec8285c46faf25de,0.58,1526086105.0,3,5,2,5
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0x713a6f26525b24581cbe20679811af8680abdddd,0.5,1523815590.0,21,6,2,23
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0x8f0bca6b1b2b522082d46f3eec31340f113b029a,1.0,1517057674.0,14,5,2,16
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0xaa2498d85ba7559006f90110a4bc33c10a06c1af,0.438522,1519340174.0,0,4,2,2
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0xcdc4fca67ecb386458d4ba8a4fb8b726d2af5ce6,0.99,1527779753.0,18,3,2,20
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0xcdc4fca67ecb386458d4ba8a4fb8b726d2af5ce6,0.01,1527781002.0,18,3,2,20
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0x48ec7767d5def1c1520402b092356e070c5f1adc,0.49,1521736464.0,18,3,2,20
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0x46cd13ad73b0260bccec6e722c42a7b76ae19b67,0.99,1521218939.0,18,4,2,20
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0x40949225c4a1745a9946f6aaf763241c082cb9ac,0.5,1521782875.0,7,4,2,9
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0x40949225c4a1745a9946f6aaf763241c082cb9ac,0.59,1525230562.0,6,2,2,8
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0x40949225c4a1745a9946f6aaf763241c082cb9ac,0.3,1525846858.0,9,2,2,11
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0x40949225c4a1745a9946f6aaf763241c082cb9ac,0.05,1528006621.0,9,6,2,11
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0xdd0940c356ebe5bb23039bbf6c83f33c7d510dc9,0.5,1524636908.0,9,2,2,11
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0x23d56797f64640e96feaf57b7874c897b53ef0e4,0.5,1520450652.0,21,2,2,23
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0x0755e59d505c9b473aec50b476df3ea2045739aa,0.09,1520211686.0,3,0,2,5
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0x1f6f1723d0db4e9783b7171392b6fa9ae1062fd9,0.571463,1519208594.0,12,2,2,14
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0x24f7ea54d9cdb021c0788caab3c1796aa8b2c161,0.49,1526417124.0,23,1,2,1
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0x24f7ea54d9cdb021c0788caab3c1796aa8b2c161,0.49,1526417124.0,23,1,2,1
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0x24f7ea54d9cdb021c0788caab3c1796aa8b2c161,0.49,1526417728.0,23,1,2,1
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0x45f7582fd6445918912977b9460475b5524cf962,0.51,1525795810.0,19,1,2,21
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0x474057adf42f9f955e86aa1142740f9d7763e41e,0.4,1522409354.0,14,4,2,16
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0xf605c1c8c1cd6bc3aa6f7383b86226c583ab2775,0.99,1523747191.0,2,6,2,4
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0x560833296ef7a7f41b30c1065225fa9b33830c19,0.05316,1515307049.0,8,6,2,10
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0x3232d99007e509d29564099c622a89e143fdc05c,0.491,1526969941.0,9,1,2,11
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0xa4fe2874a4ad464a50cb72a8c0b1a6ab221a7c17,0.703437,1524808618.0,8,4,2,10
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0xe00e1f7117a69c34694ac1815177c93491fc448f,0.69,1521653084.0,19,2,2,21
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0xe00e1f7117a69c34694ac1815177c93491fc448f,0.31,1522755359.0,14,1,2,16
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0xe00e1f7117a69c34694ac1815177c93491fc448f,0.69,1522762486.0,16,1,2,18
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0xe00e1f7117a69c34694ac1815177c93491fc448f,0.31,1522765831.0,17,1,2,19
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0xe00e1f7117a69c34694ac1815177c93491fc448f,0.2,1524042704.0,12,2,2,14
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0x21f74c6bbc1e3ab9f0205e12de3a9daa14351aed,0.7,1500454939.0,12,2,2,14
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0x54189eab44661be1b081b4535c050230a787d816,0.99,1519913801.0,16,3,2,18
0xe13467e36561606a821fb7ecd72bfce8f70648f9,0x049b01966f721db6ec76097043e9d6eccaf719b6,0.08,1517021698.0,4,5,-5,23
0xe13467e36561606a821fb7ecd72bfce8f70648f9,0xaa60f2b7e7cd32cc31620c3a5d10a79e6f2f5cf6,0.595,1523780414.0,11,6,-5,6
0x0fd081e3bb178dc45c0cb23202069dda57064258,0x41467711f2d1f6021119ffb113ae0e78251b45fa,0.1,1525597042.0,11,6,-5,6
0x0fd081e3bb178dc45c0cb23202069dda57064258,0x41467711f2d1f6021119ffb113ae0e78251b45fa,0.23,1525656461.0,4,0,-5,23
0xe0293caf6c753aaad7bbc063ecddf8ed41e62eaf,0xf9f876a42fcb0d40759790781fdc886449f54008,0.5,1526984720.0,13,1,-4,9
0x08385cb7baf866d209b5447b7f7d5d60d8d0d6e5,0x8408263f4f0691db34bd7666b5af61e19cb91b91,0.5,1520448384.0,20,2,-2,18
0x7bb890c7fe7dc73c9069030c8446e9e0ecb5e72b,0x964432e4cfdf1463167d21815bcf9463cf19ea49,0.0,1516603418.0,8,0,5,13
0xb343dc8ea2a3d8435c3f7f1e2cb1d5a72ba2c896,0x570ac27d1048dcba1a4c58fe80109b9cf9b0e2ef,0.02,1518238769.0,6,5,-4,2
0xb7415c7b3546084f1074396fded30b7a0f893764,0x3f8a37bde9b15b65c82f9cdd00192e0ba36cc5fc,0.223888698,1513803809.0,23,2,7,6
0x9d0f536dc95cde0486a8708e1af01a6e4a60e9b2,0x451ba6133b64829398fe074ae649a7998acb16f3,0.001,1523606854.0,11,4,-5,6
0x1effb1361921130b9d5259da5fabc91c3efb6234,0x501577cd4865d7d50664a1519a79f1c0e7069154,0.3,1508851073.0,16,1,0,16
0xa37c90bd1448d5589aaf4c4b8db94c0319818ab9,0x24534aa9a8931d219b8c1970579c1cba188e726c,1.5,1509589404.0,4,3,8,12
0xb5417f6682153a03f82668752e9a014d6aeb1ff2,0xe8868e87aaa4a0d0751691f9f33b0e5da7127039,0.0,1522514557.0,19,5,2,21
0x8b9310e47cd2d4aad77735a3218d9420cb152709,0x246383881c671c26736861628739f7b8ca85afbc,0.8253673205564902,1534574670.0,9,5,0,9
0x699cd19b47c1dd51da37c5c001136d65af008e91,0xe8868e87aaa4a0d0751691f9f33b0e5da7127039,0.0,1522585070.0,15,6,0,15
0x3f198be39aa90e9984d27097a55f4f0bbaa67b10,0xaff9e40f9b245b15a1d1bb45516ca213e682fa81,1.0,1505808418.0,11,1,-3,8
0x1e0ecac5ef7208039e314e2cf8796f633ce4a276,0xdf1ec2e44a8b1774b068ecfc5ef1c937a86baf3e,0.5,1517452982.0,4,3,-3,1
0x9300e35ff597a09e300ce3a054c092950b1f424e,0x8e1701e9509250d808eeca648feb1b8d7eed0704,0.0,1517482087.0,12,3,4,16
0xa1719da09b61c6d1fe0b1254b7e5374904e03cc2,0x4bf722014e54aeab05fcf1519e6e4c0c3f742e43,0.015,1511559884.0,23,4,6,5
0x82906f86b1256df5f05b22c625968474dd815840,0x1c50139c266559b29d7cb27635e0da13bef76a09,1.0,1505834248.0,18,1,0,18
0x1bbb3d5d37aada1dfe5482f4881b4cb5a5457aa0,0xe350160e3c8a07e92ec58ddcb8df81a73aedc6f9,0.5,1518347569.0,13,6,7,20
0xc97c5a39512ac231747a56943997e3987625f56c,0x903bb9cd3a276d8f18fa6efed49b9bc52ccf06e5,0.0,1521443857.0,9,0,2,11
0xa804d159a614e8cb4034b20f3f04cf56fc90540f,0x3cbd2e6143f057bd49ffb4c7058217a5900c35d3,0.024363901930814474,1514031642.0,14,5,-5,9
0x1d9d8759ea2c00809bcddee501264cc5fa72e0ac,0x0d9786138578fcdcce04435592545ef08422d755,0.35,1517230005.0,14,0,-3,11
0x9862404e308f087c7a11f75cc72b03696faf5c92,0x4e87016fd144e1716b9985afb704fc359d243a4f,0.01,1517919938.0,14,1,-5,9
0x1809bf4deaaacbae65297a4dccba01c0fb595601,0x89474953d6bc8275b88e331fdf1a92d552563712,0.000427946,1505929415.0,20,2,11,7
0x1809bf4deaaacbae65297a4dccba01c0fb595601,0x89474953d6bc8275b88e331fdf1a92d552563712,0.00066739,1506058357.0,8,4,11,19
0x1809bf4deaaacbae65297a4dccba01c0fb595601,0x89474953d6bc8275b88e331fdf1a92d552563712,0.000654941,1506404187.0,8,1,11,19
0x1809bf4deaaacbae65297a4dccba01c0fb595601,0x89474953d6bc8275b88e331fdf1a92d552563712,0.000920704,1506664107.0,8,4,11,19
0x1809bf4deaaacbae65297a4dccba01c0fb595601,0x89474953d6bc8275b88e331fdf1a92d552563712,0.002996982,1506967923.0,21,0,11,8
0x1809bf4deaaacbae65297a4dccba01c0fb595601,0x89474953d6bc8275b88e331fdf1a92d552563712,0.000489155,1506969214.0,21,0,11,8
0x1809bf4deaaacbae65297a4dccba01c0fb595601,0x89474953d6bc8275b88e331fdf1a92d552563712,0.001004309,1507359554.0,9,5,11,20
0x1809bf4deaaacbae65297a4dccba01c0fb595601,0x89474953d6bc8275b88e331fdf1a92d552563712,1.62278e-08,1508734748.0,7,0,11,18
0x1809bf4deaaacbae65297a4dccba01c0fb595601,0x89474953d6bc8275b88e331fdf1a92d552563712,5.96299362e-08,1508826586.0,9,1,11,20
0x1809bf4deaaacbae65297a4dccba01c0fb595601,0x89474953d6bc8275b88e331fdf1a92d552563712,1.010110840362e-06,1508910198.0,8,2,11,19
0x1809bf4deaaacbae65297a4dccba01c0fb595601,0x89474953d6bc8275b88e331fdf1a92d552563712,5.15742e-07,1508911183.0,8,2,11,19
0x1809bf4deaaacbae65297a4dccba01c0fb595601,0x89474953d6bc8275b88e331fdf1a92d552563712,1.0001072096e-07,1508997369.0,8,3,11,19
0x1809bf4deaaacbae65297a4dccba01c0fb595601,0x89474953d6bc8275b88e331fdf1a92d552563712,9.803715542e-07,1509083303.0,8,4,11,19
0x1809bf4deaaacbae65297a4dccba01c0fb595601,0x89474953d6bc8275b88e331fdf1a92d552563712,9.919362e-08,1509341843.0,7,0,11,18
0x1809bf4deaaacbae65297a4dccba01c0fb595601,0x89474953d6bc8275b88e331fdf1a92d552563712,9.15068e-07,1509431572.0,8,1,11,19
0xd21c6ab4da4a1f39f9459a2d34b3c476088fac4a,0xe8868e87aaa4a0d0751691f9f33b0e5da7127039,0.0,1522607582.0,21,6,-3,18
0x33c41f7797facc50358578f14d0fce68a32e7422,0x33bf8bde242216da572d6486d641ae0a18137306,0.38,1516278770.0,14,3,-4,10
0x250a78d175740d317bbd92d860cab0a72fe3ec37,0x6c712ae4986342773edc37a9ff7fa90b1b52ca6e,0.5,1530225391.0,1,4,3,4
0x1b84e6410640233715a968b92d9770b89546b28f,0xe40620cd028b53244cdbabcb36dd1a347243872a,5.0,1506383255.0,2,1,6,8
0x1b84e6410640233715a968b92d9770b89546b28f,0x316b3b83c33b20249b61ded124f2620d8e823793,60.0,1510066224.0,16,1,6,22
